ticker,ticker_original,sector_json,industria,nombre,moneda,pais,rend_esperado_annual,volatilidad_annual,sharpe,var_95,skewness,kurtosis,ultimo_precio,fund_sector,fund_industry,fund_trailingPE,fund_forwardPE,fund_priceToBook,fund_returnOnEquity,fund_revenueGrowth,fund_earningsGrowth,fund_debtToEquity,fund_freeCashflow,fund_marketCap,fund_recommendationMean,fund_numberOfAnalystOpinions,fund_targetMeanPrice,fund_currentPrice,news_score,news_count,news_bullish,news_bearish
NVDA.BA,NVDA,Tecnología,Semiconductores,NVIDIA Corporation,ARS,EE.UU.,0.48497516549545633,0.3934113006853447,1.1310685908622464,-0.03934329681195391,0.20118342839365444,0.25813999519145936,14850.0,Technology,Semiconductors,34.61179,17.634703,28.006817,1.14288,0.852,2.145,6.555,46335873024,5474309111808.0,1.29508,58.0,302.82758,226.015,3,10,3,0
UAL.BA,UAL,Acciones Industriales,Aerolíneas,"United Airlines Holdings, Inc.",ARS,EE.UU.,0.588396111687496,0.5207481367859549,1.0530927965910424,-0.049482327004501954,0.020864561455649987,0.5216060556381561,40020.0,Industrials,Airlines,11.846441,8.181636,2.4595165,0.23252001,0.16,-0.172,201.641,910124992,41064562688.0,1.36,23.0,162.15218,126.52,0,10,1,1
MMM.BA,MMM,Acciones Industriales,Conglomerados,3M Company,ARS,EE.UU.,0.40573870553523417,0.3473873765186208,1.0528267008448124,-0.02786179325375493,-0.023040714652932743,3.3665991665794923,28860.0,Industrials,Conglomerates,32.516876,18.72249,31.98288,0.81891996,0.025,0.328,437.937,6350125056,94413307904.0,2.22222,17.0,183.25824,183.07,7,10,8,1
HON.BA,HON,Acciones Industriales,Conglomerados,Honeywell International Inc.,ARS,EE.UU.,0.3200041658697743,0.3303429229625909,0.8476166625839383,-0.030721076811511393,-0.3709425875687441,1.6407553839987261,46299.91015625,Industrials,Conglomerates,8.97867,23.320686,3.9944775,0.46577,0.043,2.639,185.369,2610374912,74045104128.0,1.91667,19.0,263.10526,233.625,8,10,8,0
CADO.BA,CADO.BA,Acciones Industriales,Conglomerados,Carlos Casado S.A.,ARS,Argentina,0.2266526156626644,0.25039008244172223,0.7454473190091601,-0.01964701446999705,1.412481177355067,6.201824033129281,544.0,Industrials,Conglomerates,22.713987,,1.0567539,0.05414,,,20.015,-3917444352,67020800000.0,,,,544.0,0,0,0,0
PAMP.BA,PAMP.BA,Acciones Industriales,Conglomerados,Pampa Energía S.A.,ARS,Argentina,0.32545363621577855,0.3904681253782424,0.7310548996522126,-0.03344329427823914,0.48694449224536074,8.284884306298007,5000.0,Industrials,Conglomerates,7.616146,6.5239234,1.1005256,0.15264,0.535,3.333,65.025,-509724992,6700470894592.0,1.66667,3.0,8259.833,5000.0,4,10,5,1
CRES.BA,CRES.BA,Acciones Industriales,Conglomerados,Cresud S.A.,ARS,Argentina,0.32107682144038774,0.420492057648518,0.668447397109543,-0.033315851490143246,1.583466107161471,8.912870906585102,1676.0,Industrials,Conglomerates,5.790292,936.31287,0.90946287,0.16041,0.05,-0.263,69.055,-126445125632,1188706254848.0,,,,1676.0,3,3,3,0
RENT3.BA,RENT3,Acciones Industriales,Servicios de alquiler y arrendamiento,Localiza Rent a Car S.A.,ARS,Brasil,0.4019486846479224,0.5420230802473704,0.6677735650716847,-0.05041797929792978,0.10532434640487301,0.19502004816895724,5265.0,Industrials,Rental & Leasing Services,,,0.7697268,0.13011,0.245,,171.495,9880596480,5815797284864.0,,,,5265.0,5,10,6,1
QCOM.BA,QCOM,Tecnología,Semiconductores,QUALCOMM Incorporated,ARS,EE.UU.,0.3729597236390017,0.5297322828259682,0.6285433877330604,-0.05404128776832188,0.3736477365888285,3.5874983486600494,23700.0,Technology,Semiconductors,18.964571,16.235567,6.3415756,0.33754003,-0.04,-0.23,55.21,10241000448,174237007872.0,2.51351,30.0,194.76666,165.94,3,10,3,0
CAR.BA,CAR,Acciones Industriales,Servicios de alquiler y arrendamiento,"Avis Budget Group, Inc.",ARS,EE.UU.,0.6510915149784874,1.0286712373740805,0.5940591053546308,-0.06767269538601156,-1.7289921000226767,18.31993698996167,8425.0,Industrials,Rental & Leasing Services,,22.727762,-1.4316972,,-0.013,8.8,,1093124992,4854111744.0,3.375,7.0,129.14285,137.41,0,10,2,2
TGSU2.BA,TGSU2.BA,Energía,Petróleo y Gas Integrados,Transportadora de Gas del Sur S.A.,ARS,Argentina,0.30704676538507525,0.48918648315105506,0.5458997224635382,-0.03722093023255815,2.2667020885378495,24.80974925749678,8880.0,Energy,Oil & Gas Integrated,12.869939,10.329233,1.6851454,0.15984,0.154,1.476,43.07,359247478784,6684518383616.0,1.5,1.0,20500.0,8880.0,5,10,5,0
